DATE,HKD
1999-01-01,7.7486
1999-02-01,7.749
1999-03-01,7.7493
1999-04-01,7.7495
1999-05-01,7.7531
1999-06-01,7.7575
1999-07-01,7.7603
1999-08-01,7.7638
1999-09-01,7.7665
1999-10-01,7.7696
1999-11-01,7.7718
1999-12-01,7.7728
2000-01-01,7.7791
2000-02-01,7.7816
2000-03-01,7.7848
2000-04-01,7.788
2000-05-01,7.7907
2000-06-01,7.7934
2000-07-01,7.7969
2000-08-01,7.7995
2000-09-01,7.7985
2000-10-01,7.7977
2000-11-01,7.7991
2000-12-01,7.7991
2001-01-01,7.7998
2001-02-01,7.7999
2001-03-01,7.7999
2001-04-01,7.7993
2001-05-01,7.7999
2001-06-01,7.7997
2001-07-01,7.7999
2001-08-01,7.7997
2001-09-01,7.7997
2001-10-01,7.7999
2001-11-01,7.7996
2001-12-01,7.7989
2002-01-01,7.7989
2002-02-01,7.7996
2002-03-01,7.7997
2002-04-01,7.8
2002-05-01,7.7994
2002-06-01,7.8
2002-07-01,7.8
2002-08-01,7.8
2002-09-01,7.7999
2002-10-01,7.7995
2002-11-01,7.7994
2002-12-01,7.7988
2003-01-01,7.7994
2003-02-01,7.7995
2003-03-01,7.7991
2003-04-01,7.7996
2003-05-01,7.7991
2003-06-01,7.7988
2003-07-01,7.7992
2003-08-01,7.7993
2003-09-01,7.785
2003-10-01,7.7427
2003-11-01,7.7637
2003-12-01,7.7645
2004-01-01,7.7663
2004-02-01,7.7748
2004-03-01,7.793
2004-04-01,7.797
2004-05-01,7.7971
2004-06-01,7.798
2004-07-01,7.8
2004-08-01,7.7997
2004-09-01,7.7995
2004-10-01,7.7889
2004-11-01,7.7755
2004-12-01,7.776
2005-01-01,7.7948
2005-02-01,7.7994
2005-03-01,7.7994
2005-04-01,7.7984
2005-05-01,7.7914
2005-06-01,7.7755
2005-07-01,7.7751
2005-08-01,7.7709
2005-09-01,7.7618
2005-10-01,7.7559
2005-11-01,7.7538
2005-12-01,7.7531
2006-01-01,7.7537
2006-02-01,7.7593
2006-03-01,7.7591
2006-04-01,7.7561
2006-05-01,7.7538
2006-06-01,7.7636
2006-07-01,7.7734
2006-08-01,7.7762
2006-09-01,7.7825
2006-10-01,7.7849
2006-11-01,7.7816
2006-12-01,7.7733
2007-01-01,7.8
2007-02-01,7.8114
2007-03-01,7.8132
2007-04-01,7.8154
2007-05-01,7.8187
2007-06-01,7.8142
2007-07-01,7.8197
2007-08-01,7.8155
2007-09-01,7.7824
2007-10-01,7.7545
2007-11-01,7.7774
2007-12-01,7.7983
2008-01-01,7.8044
2008-02-01,7.7963
2008-03-01,7.7813
2008-04-01,7.791
2008-05-01,7.7988
2008-06-01,7.8073
2008-07-01,7.8001
2008-08-01,7.8076
2008-09-01,7.7854
2008-10-01,7.7588
2008-11-01,7.7507
2008-12-01,7.7504
2009-01-01,7.7563
2009-02-01,7.7534
2009-03-01,7.753
2009-04-01,7.7501
2009-05-01,7.751
2009-06-01,7.7505
2009-07-01,7.75
2009-08-01,7.7506
2009-09-01,7.7503
2009-10-01,7.7497
2009-11-01,7.7497
2009-12-01,7.7526
2010-01-01,7.7624
2010-02-01,7.767
2010-03-01,7.7612
2010-04-01,7.7627
2010-05-01,7.7856
2010-06-01,7.788
2010-07-01,7.7753
2010-08-01,7.7702
2010-09-01,7.7643
2010-10-01,7.758
2010-11-01,7.7546
2010-12-01,7.7736
2011-01-01,7.7803
2011-02-01,7.7895
2011-03-01,7.7913
2011-04-01,7.7716
2011-05-01,7.7742
2011-06-01,7.785
2011-07-01,7.7892
2011-08-01,7.7965
2011-09-01,7.7943
2011-10-01,7.7774
2011-11-01,7.7809
2011-12-01,7.7767
2012-01-01,7.7622
2012-02-01,7.7544
2012-03-01,7.762
2012-04-01,7.7621
2012-05-01,7.764
2012-06-01,7.759
2012-07-01,7.7561
2012-08-01,7.7562
2012-09-01,7.754
2012-10-01,7.7515
2012-11-01,7.7505
2012-12-01,7.7501
2013-01-01,7.753
2013-02-01,7.7552
2013-03-01,7.7592
2013-04-01,7.7631
2013-05-01,7.7614
2013-06-01,7.7602
2013-07-01,7.7567
2013-08-01,7.7553
2013-09-01,7.7543
2013-10-01,7.7536
2013-11-01,7.7523
2013-12-01,7.7535
2014-01-01,7.7578
2014-02-01,7.7585
2014-03-01,7.7612
2014-04-01,7.754
2014-05-01,7.7523
2014-06-01,7.7516
2014-07-01,7.7502
2014-08-01,7.7504
2014-09-01,7.7526
2014-10-01,7.7572
2014-11-01,7.7543
2014-12-01,7.7541
2015-01-01,7.7531
2015-02-01,7.7551
2015-03-01,7.7584
2015-04-01,7.7509
2015-05-01,7.7527
2015-06-01,7.7528
2015-07-01,7.7514
2015-08-01,7.753
2015-09-01,7.7501
2015-10-01,7.7499
2015-11-01,7.7506
2015-12-01,7.7507
2016-01-01,7.7812
2016-02-01,7.7829
2016-03-01,7.7604
2016-04-01,7.7556
2016-05-01,7.7635
2016-06-01,7.762
2016-07-01,7.7568
2016-08-01,7.756
2016-09-01,7.7564
2016-10-01,7.757
2016-11-01,7.756
2016-12-01,7.7586
2017-01-01,7.756
2017-02-01,7.7596
2017-03-01,7.7658
2017-04-01,7.7737
2017-05-01,7.7864
2017-06-01,7.7984
2017-07-01,7.8091
2017-08-01,7.8217
2017-09-01,7.8127
2017-10-01,7.8053
2017-11-01,7.8052
2017-12-01,7.8128
2018-01-01,7.819
2018-02-01,7.8222
2018-03-01,7.8413
2018-04-01,7.8482
2018-05-01,7.8487
2018-06-01,7.8471
2018-07-01,7.8477
2018-08-01,7.8492
2018-09-01,7.8364
2018-10-01,7.8375
2018-11-01,7.8286
2018-12-01,7.8194
2019-01-01,7.8411
2019-02-01,7.8477
2019-03-01,7.8492
2019-04-01,7.8445
2019-05-01,7.8478
2019-06-01,7.826
2019-07-01,7.8133
2019-08-01,7.842
2019-09-01,7.835
2019-10-01,7.8421
2019-11-01,7.8279
2019-12-01,7.8045
2020-01-01,7.7725
2020-02-01,7.7757
2020-03-01,7.7651
2020-04-01,7.7512
2020-05-01,7.7519
2020-06-01,7.7501
2020-07-01,7.7509
2020-08-01,7.7502
2020-09-01,7.75
2020-10-01,7.7503
2020-11-01,7.7526
2020-12-01,7.7519
2021-01-01,7.7533
2021-02-01,7.7529
2021-03-01,7.7651
2021-04-01,7.7691
2021-05-01,7.7654
2021-06-01,7.7617
2021-07-01,7.7705
2021-08-01,7.7834
2021-09-01,7.7807
2021-10-01,7.7793
2021-11-01,7.7896
2021-12-01,7.799
2022-01-01,7.7917
2022-02-01,7.7992
2022-03-01,7.8228
2022-04-01,7.8414
2022-05-01,7.849
2022-06-01,7.8481
2022-07-01,7.849
2022-08-01,7.8465
2022-09-01,7.8494
2022-10-01,7.8498
2022-11-01,7.8308
2022-12-01,7.7854
2023-01-01,7.8204
2023-02-01,7.8471
2023-03-01,7.8487
2023-04-01,7.8496
2023-05-01,7.8373
2023-06-01,7.833
2023-07-01,7.8156
2023-08-01,7.8263
2023-09-01,7.8285
2023-10-01,7.8246
2023-11-01,7.8071
2023-12-01,7.8098
2024-01-01,7.8164
2024-02-01,7.8218
2024-03-01,7.823
2024-04-01,7.8305
2024-05-01,7.8119
2024-06-01,7.81
2024-07-01,7.8095
2024-08-01,7.7962
