DATE,JPY
1999-01-01,113.29
1999-02-01,116.6684
1999-03-01,119.473
1999-04-01,119.7723
1999-05-01,121.9995
1999-06-01,120.7245
1999-07-01,119.3305
1999-08-01,113.2268
1999-09-01,106.8752
1999-10-01,105.965
1999-11-01,104.6485
1999-12-01,102.5843
2000-01-01,105.296
2000-02-01,109.3885
2000-03-01,106.3074
2000-04-01,105.627
2000-05-01,108.3205
2000-06-01,106.1255
2000-07-01,108.2115
2000-08-01,108.0804
2000-09-01,106.8375
2000-10-01,108.4429
2000-11-01,109.0095
2000-12-01,112.209
2001-01-01,116.6719
2001-02-01,116.2337
2001-03-01,121.505
2001-04-01,123.771
2001-05-01,121.7682
2001-06-01,122.351
2001-07-01,124.4981
2001-08-01,121.367
2001-09-01,118.6117
2001-10-01,121.4536
2001-11-01,122.4055
2001-12-01,127.5945
2002-01-01,132.6833
2002-02-01,133.6426
2002-03-01,131.061
2002-04-01,130.7718
2002-05-01,126.375
2002-06-01,123.2905
2002-07-01,117.8991
2002-08-01,118.9927
2002-09-01,121.078
2002-10-01,123.9077
2002-11-01,121.6079
2002-12-01,121.8929
2003-01-01,118.8133
2003-02-01,119.3379
2003-03-01,118.6871
2003-04-01,119.895
2003-05-01,117.3681
2003-06-01,118.329
2003-07-01,118.6959
2003-08-01,118.6624
2003-09-01,114.8
2003-10-01,109.4955
2003-11-01,109.1778
2003-12-01,107.7377
2004-01-01,106.2685
2004-02-01,106.7079
2004-03-01,108.5157
2004-04-01,107.6564
2004-05-01,112.196
2004-06-01,109.4336
2004-07-01,109.4871
2004-08-01,110.2336
2004-09-01,110.0914
2004-10-01,108.7835
2004-11-01,104.699
2004-12-01,103.8104
2005-01-01,103.341
2005-02-01,104.9442
2005-03-01,105.2543
2005-04-01,107.1938
2005-05-01,106.5952
2005-06-01,108.7473
2005-07-01,111.9535
2005-08-01,110.6065
2005-09-01,111.239
2005-10-01,114.8695
2005-11-01,118.454
2005-12-01,118.4624
2006-01-01,115.4765
2006-02-01,117.8605
2006-03-01,117.2778
2006-04-01,117.0695
2006-05-01,111.7305
2006-06-01,114.625
2006-07-01,115.767
2006-08-01,115.9243
2006-09-01,117.2145
2006-10-01,118.609
2006-11-01,117.3205
2006-12-01,117.322
2007-01-01,120.4471
2007-02-01,120.5047
2007-03-01,117.26
2007-04-01,118.9324
2007-05-01,120.7732
2007-06-01,122.6886
2007-07-01,121.4148
2007-08-01,116.7335
2007-09-01,115.0435
2007-10-01,115.8661
2007-11-01,111.0729
2007-12-01,112.449
2008-01-01,107.8181
