DATE,SEK
1999-01-01,7.8188
1999-02-01,7.9532
1999-03-01,8.2144
1999-04-01,8.3293
1999-05-01,8.4432
1999-06-01,8.5065
1999-07-01,8.4431
1999-08-01,8.2589
1999-09-01,8.2264
1999-10-01,8.1492
1999-11-01,8.3586
1999-12-01,8.491
2000-01-01,8.4918
2000-02-01,8.648
2000-03-01,8.6971
2000-04-01,8.7486
2000-05-01,9.0925
2000-06-01,8.7471
2000-07-01,8.964
2000-08-01,9.2771
2000-09-01,9.6853
2000-10-01,9.993
2000-11-01,10.0965
2000-12-01,9.6604
2001-01-01,9.491
2001-02-01,9.7518
2001-03-01,10.0516
2001-04-01,10.2035
2001-05-01,10.3513
2001-06-01,10.793
2001-07-01,10.7603
2001-08-01,10.3329
2001-09-01,10.6353
2001-10-01,10.5661
2001-11-01,10.6117
2001-12-01,10.5753
2002-01-01,10.4561
2002-02-01,10.5501
2002-03-01,10.3324
2002-04-01,10.307
2002-05-01,10.0642
2002-06-01,9.5376
2002-07-01,9.3474
2002-08-01,9.461
2002-09-01,9.34
2002-10-01,9.2846
2002-11-01,9.0652
2002-12-01,8.9303
2003-01-01,8.6368
2003-02-01,8.4837
2003-03-01,8.544
2003-04-01,8.4314
2003-05-01,7.9213
2003-06-01,7.8116
2003-07-01,8.0929
2003-08-01,8.2821
2003-09-01,8.0426
2003-10-01,7.6957
2003-11-01,7.6799
2003-12-01,7.3395
2004-01-01,7.2334
2004-02-01,7.263
2004-03-01,7.5322
2004-04-01,7.6496
2004-05-01,7.6097
2004-06-01,7.5323
2004-07-01,7.5027
2004-08-01,7.5362
2004-09-01,7.4356
2004-10-01,7.2453
2004-11-01,6.9257
2004-12-01,6.6969
2005-01-01,6.8991
2005-02-01,6.98
2005-03-01,6.8954
2005-04-01,7.0814
2005-05-01,7.2382
2005-06-01,7.6229
2005-07-01,7.8263
2005-08-01,7.5951
2005-09-01,7.63
2005-10-01,7.8433
2005-11-01,8.1157
2005-12-01,7.9518
2006-01-01,7.6697
2006-02-01,7.8226
2006-03-01,7.8109
2006-04-01,7.6005
2006-05-01,7.305
2006-06-01,7.2949
2006-07-01,7.2654
2006-08-01,7.189
2006-09-01,7.2844
2006-10-01,7.3338
2006-11-01,7.0612
2006-12-01,6.8398
2007-01-01,6.9901
2007-02-01,7.02
2007-03-01,7.0171
2007-04-01,6.8371
2007-05-01,6.8094
2007-06-01,6.9485
2007-07-01,6.6933
2007-08-01,6.8429
2007-09-01,6.6713
2007-10-01,6.4439
2007-11-01,6.3242
2007-12-01,6.4764
2008-01-01,6.3978
2008-02-01,6.345
2008-03-01,6.0613
2008-04-01,5.947
2008-05-01,5.9887
2008-06-01,6.0249
2008-07-01,6.0015
2008-08-01,6.2845
2008-09-01,6.6816
2008-10-01,7.4435
2008-11-01,7.9612
2008-12-01,8.0124
2009-01-01,8.1044
2009-02-01,8.5455
2009-03-01,8.5727
2009-04-01,8.2297
2009-05-01,7.7602
2009-06-01,7.767
2009-07-01,7.6843
2009-08-01,7.1562
2009-09-01,6.9941
2009-10-01,6.955
2009-11-01,6.9267
2009-12-01,7.1384
2010-01-01,7.1534
2010-02-01,7.2683
2010-03-01,7.163
2010-04-01,7.2026
2010-05-01,7.7042
2010-06-01,7.8261
2010-07-01,7.4066
2010-08-01,7.3015
2010-09-01,7.0397
2010-10-01,6.677
2010-11-01,6.8201
2010-12-01,6.8524
2011-01-01,6.6673
2011-02-01,6.4342
2011-03-01,6.3493
2011-04-01,6.199
2011-05-01,6.2526
2011-06-01,6.3273
2011-07-01,6.3957
2011-08-01,6.397
2011-09-01,6.646
2011-10-01,6.6396
2011-11-01,6.7377
2011-12-01,6.8553
2012-01-01,6.8463
2012-02-01,6.6619
2012-03-01,6.7319
2012-04-01,6.7359
2012-05-01,7.028
2012-06-01,7.0746
2012-07-01,6.9504
2012-08-01,6.6758
2012-09-01,6.596
2012-10-01,6.64
2012-11-01,6.7059
2012-12-01,6.5936
2013-01-01,6.4801
2013-02-01,6.3756
2013-03-01,6.4455
2013-04-01,6.4867
2013-05-01,6.5992
2013-06-01,6.5848
2013-07-01,6.6161
2013-08-01,6.5365
2013-09-01,6.4896
2013-10-01,6.408
2013-11-01,6.5863
2013-12-01,6.5328
2014-01-01,6.4862
2014-02-01,6.493
2014-03-01,6.4114
2014-04-01,6.5488
2014-05-01,6.5719
2014-06-01,6.6859
2014-07-01,6.8189
2014-08-01,6.8983
2014-09-01,7.1302
2014-10-01,7.2456
2014-11-01,7.4155
2014-12-01,7.6289
2015-01-01,8.1131
2015-02-01,8.3537
2015-03-01,8.5448
2015-04-01,8.6321
2015-05-01,8.335
2015-06-01,8.2653
2015-07-01,8.5325
2015-08-01,8.5515
2015-09-01,8.3659
2015-10-01,8.3314
2015-11-01,8.6829
2015-12-01,8.4938
2016-01-01,8.5483
2016-02-01,8.4804
2016-03-01,8.3394
2016-04-01,8.111
2016-05-01,8.2154
2016-06-01,8.3043
2016-07-01,8.5722
2016-08-01,8.4693
2016-09-01,8.5311
2016-10-01,8.821
2016-11-01,9.1266
2016-12-01,9.207
2017-01-01,8.9451
2017-02-01,8.9007
2017-03-01,8.9147
2017-04-01,8.9616
2017-05-01,8.7826
2017-06-01,8.6779
2017-07-01,8.3129
2017-08-01,8.0835
2017-09-01,8.0096
2017-10-01,8.1776
2017-11-01,8.3893
2017-12-01,8.3925
2018-01-01,8.048
2018-02-01,8.0542
2018-03-01,8.2406
2018-04-01,8.4596
2018-05-01,8.7555
2018-06-01,8.801
2018-07-01,8.8239
2018-08-01,9.069
2018-09-01,8.9395
2018-10-01,9.0391
2018-11-01,9.0676
2018-12-01,9.0303
2019-01-01,8.995
2019-02-01,9.2481
2019-03-01,9.2931
2019-04-01,9.328
2019-05-01,9.5921
2019-06-01,9.4085
2019-07-01,9.4191
2019-08-01,9.6467
2019-09-01,9.7086
2019-10-01,9.7675
2019-11-01,9.6381
2019-12-01,9.4324
2020-01-01,9.5099
2020-02-01,9.6881
2020-03-01,9.8437
2020-04-01,10.0164
2020-05-01,9.7286
2020-06-01,9.3105
2020-07-01,9.0097
2020-08-01,8.7103
2020-09-01,8.8554
2020-10-01,8.8346
2020-11-01,8.6569
2020-12-01,8.3631
2021-01-01,8.2867
2021-02-01,8.3437
2021-03-01,8.5431
2021-04-01,8.4994
2021-05-01,8.3511
2021-06-01,8.3966
2021-07-01,8.6256
2021-08-01,8.6787
2021-09-01,8.644
2021-10-01,8.6624
2021-11-01,8.8036
2021-12-01,9.0896
2022-01-01,9.1533
2022-02-01,9.2857
2022-03-01,9.5652
