DATE,SGD
1999-01-01,1.6791
1999-02-01,1.7004
1999-03-01,1.7292
1999-04-01,1.7134
1999-05-01,1.7122
1999-06-01,1.7107
1999-07-01,1.6958
1999-08-01,1.6787
1999-09-01,1.6965
1999-10-01,1.6757
1999-11-01,1.6699
1999-12-01,1.6745
2000-01-01,1.6757
2000-02-01,1.7028
2000-03-01,1.7153
2000-04-01,1.7096
2000-05-01,1.7286
2000-06-01,1.7277
2000-07-01,1.7414
2000-08-01,1.7206
2000-09-01,1.7406
2000-10-01,1.7525
2000-11-01,1.7478
2000-12-01,1.7361
2001-01-01,1.738
2001-02-01,1.7435
2001-03-01,1.7732
2001-04-01,1.8118
2001-05-01,1.8141
2001-06-01,1.817
2001-07-01,1.8233
2001-08-01,1.7613
2001-09-01,1.7494
2001-10-01,1.8113
2001-11-01,1.8295
2001-12-01,1.8382
2002-01-01,1.8394
2002-02-01,1.8312
2002-03-01,1.8295
2002-04-01,1.8285
2002-05-01,1.8004
2002-06-01,1.7831
2002-07-01,1.7524
2002-08-01,1.7553
2002-09-01,1.7682
2002-10-01,1.7843
2002-11-01,1.7653
2002-12-01,1.7532
2003-01-01,1.7363
2003-02-01,1.7451
2003-03-01,1.7551
2003-04-01,1.7771
2003-05-01,1.7357
2003-06-01,1.7351
2003-07-01,1.7551
2003-08-01,1.7533
2003-09-01,1.7466
2003-10-01,1.7345
2003-11-01,1.7282
2003-12-01,1.7107
2004-01-01,1.6965
2004-02-01,1.6869
2004-03-01,1.6996
2004-04-01,1.6849
2004-05-01,1.7124
2004-06-01,1.7136
2004-07-01,1.7121
2004-08-01,1.7145
2004-09-01,1.6948
2004-10-01,1.6767
2004-11-01,1.6505
2004-12-01,1.6402
2005-01-01,1.6377
2005-02-01,1.6381
2005-03-01,1.6308
2005-04-01,1.6511
2005-05-01,1.6507
2005-06-01,1.6723
2005-07-01,1.6815
2005-08-01,1.6623
2005-09-01,1.682
2005-10-01,1.6915
2005-11-01,1.6981
2005-12-01,1.6738
2006-01-01,1.631
2006-02-01,1.6286
2006-03-01,1.6211
2006-04-01,1.6008
2006-05-01,1.5755
2006-06-01,1.5912
2006-07-01,1.5837
2006-08-01,1.5754
2006-09-01,1.5803
2006-10-01,1.5775
2006-11-01,1.5558
