DATE	EXCAUS	EXCHUS	EXHKUS	EXJPUS	EXKOUS	EXMXUS	EXNOUS	EXSDUS	EXSIUS	EXSZUS	EXUSAL	EXUSEU	EXUSNZ	EXUSUK
1990-01-01	1.1720	4.7339	7.8116	144.9819	686.1842		6.5462	6.1776	1.8873	1.5175	0.7811		0.6022	1.6512
1990-02-01	1.1965	4.7339	7.8103	145.6932	692.4737		6.4760	6.1250	1.8641	1.4879	0.7593		0.5916	1.6961
1990-03-01	1.1800	4.7339	7.8129	153.3082	700.4952		6.5972	6.1683	1.8777	1.5133	0.7556		0.5847	1.6245
1990-04-01	1.1641	4.7339	7.7966	158.4586	708.7619		6.5457	6.1160	1.8783	1.4866	0.7637		0.5788	1.6372
1990-05-01	1.1747	4.7339	7.7877	154.0441	711.8476		6.4477	6.0560	1.8589	1.4198	0.7611		0.5729	1.6774
1990-06-01	1.1730	4.7339	7.7855	153.6957	718.0714		6.4700	6.0896	1.8471	1.4250	0.7790		0.5825	1.7103
1990-07-01	1.1570	4.7339	7.7704	149.0395	718.7450		6.2925	5.9470	1.8193	1.3924	0.7908		0.5915	1.8098
1990-08-01	1.1448	4.7339	7.7707	147.4609	718.2591		6.0810	5.7754	1.7905	1.3076	0.8087		0.6129	1.9013
1990-09-01	1.1583	4.7342	7.7647	138.4405	717.8737		6.0735	5.7663	1.7671	1.3069	0.8251		0.6208	1.8794
1990-10-01	1.1600	4.7339	7.7722	129.5909	717.7611		5.9150	5.6411	1.7257	1.2818	0.8006		0.6113	1.9456
1990-11-01	1.1635	4.9714	7.7951	129.2155	717.0300		5.7996	5.5633	1.7100	1.2569	0.7729		0.6112	1.9642
1990-12-01	1.1603	5.2352	7.8034	133.8890	718.5750		5.8717	5.6338	1.7275	1.2814	0.7702		0.5957	1.9219
1991-01-01	1.1560	5.2352	7.7950	133.6986	720.8250		5.8993	5.6345	1.7455	1.2714	0.7793		0.5948	1.9346
1991-02-01	1.1549	5.2352	7.7943	130.5358	723.9706		5.7919	5.5516	1.7180	1.2685	0.7835		0.6012	1.9641
1991-03-01	1.1572	5.2352	7.7911	137.3867	727.7316		6.2899	5.9081	1.7589	1.3918	0.7711		0.5939	1.8214
1991-04-01	1.1535	5.2767	7.7939	137.1127	728.3571		6.6198	6.1145	1.7688	1.4399	0.7795		0.5891	1.7497
1991-05-01	1.1499	5.3257	7.7798	138.2218	727.9905		6.6953	6.1578	1.7688	1.4574	0.7743		0.5865	1.7238
1991-06-01	1.1439	5.3667	7.7341	139.7475	727.9722		6.9542	6.4235	1.7782	1.5297	0.7598		0.5765	1.6497
1991-07-01	1.1493	5.3693	7.7610	137.8300	731.7636		6.9627	6.4609	1.7555	1.5481	0.7716		0.5668	1.6513
1991-08-01	1.1452	5.3725	7.7646	136.8164	733.9045		6.8118	6.3311	1.7269	1.5201	0.7823		0.5735	1.6841
1991-09-01	1.1370	5.3869	7.7524	134.2995	744.1789		6.6266	6.1652	1.7002	1.4803	0.7937		0.5799	1.7265
1991-10-01	1.1279	5.3917	7.7542	130.7723	753.5400		6.6136	6.1552	1.6940	1.4781	0.7925		0.5631	1.7231
1991-11-01	1.1302	5.3994	7.7591	129.6321	757.4368		6.3643	5.9246	1.6709	1.4348	0.7866		0.5635	1.7796
1991-12-01	1.1467	5.4232	7.7738	128.0395	761.6810		6.1558	5.7158	1.6453	1.3855	0.7712		0.5526	1.8272
1992-01-01	1.1571	5.4618	7.7612	125.4614	767.0905		6.2044	5.7461	1.6337	1.4039	0.7476		0.5419	1.8090
1992-02-01	1.1825	5.4776	7.7582	127.6989	769.9333		6.3472	5.8764	1.6361	1.4561	0.7518		0.5418	1.7778
1992-03-01	1.1928	5.4871	7.7463	132.8627	775.6750		6.5188	6.0263	1.6601	1.5094	0.7586		0.5479	1.7238
1992-04-01	1.1874	5.5098	7.7404	133.5395	783.0045		6.4606	5.9667	1.6567	1.5194	0.7624		0.5414	1.7566
1992-05-01	1.1991	5.5182	7.7421	130.7710	787.3526		6.3311	5.8462	1.6408	1.4907	0.7559		0.5351	1.8095
1992-06-01	1.1960	5.4893	7.7343	126.8355	793.6000		6.1493	5.6792	1.6240	1.4250	0.7556		0.5420	1.8551
1992-07-01	1.1924	5.4564	7.7341	125.8817	789.9273		5.8581	5.4084	1.6142	1.3347	0.7451		0.5461	1.9177
1992-08-01	1.1907	5.4417	7.7318	126.2310	792.5619		5.7120	5.2745	1.6077	1.2966	0.7248		0.5406	1.9434
1992-09-01	1.2225	5.5048	7.7298	122.5967	788.7611		5.8116	5.3685	1.5988	1.2780	0.7225		0.5411	1.8465
1992-10-01	1.2453	5.5486	7.7298	121.1652	786.7905		6.0562	5.6006	1.6081	1.3176	0.7148		0.5394	1.6529
1992-11-01	1.2674	5.6134	7.7348	123.8800	787.0947		6.4714	6.2528	1.6338	1.4291	0.6898		0.5200	1.5268
1992-12-01	1.2725	5.8106	7.7416	124.0409	791.7455		6.6804	6.8903	1.6397	1.4219	0.6897		0.5157	1.5510
1993-01-01	1.2779	5.7796	7.7376	124.9932	794.8722		6.8721	7.2536	1.6527	1.4774	0.6730		0.5127	1.5325
1993-02-01	1.2602	5.7874	7.7335	120.7595	799.2526		6.9779	7.5566	1.6463	1.5178	0.6829		0.5160	1.4395
1993-03-01	1.2471	5.7455	7.7332	117.0174	796.4174		6.9989	7.7362	1.6446	1.5206	0.7078		0.5303	1.4617
1993-04-01	1.2621	5.7202	7.7306	112.4114	798.6136		6.7738	7.4500	1.6228	1.4599	0.7115		0.5390	1.5447
1993-05-01	1.2698	5.7392	7.7290	110.3430	803.1947		6.8027	7.3271	1.6136	1.4504	0.6986		0.5429	1.5477
1993-06-01	1.2789	5.7504	7.7362	107.4118	805.9136		6.9986	7.4541	1.6175	1.4769	0.6749		0.5395	1.5082
1993-07-01	1.2820	5.7756	7.7556	107.6914	809.5810		7.3179	7.9802	1.6206	1.5147	0.6779		0.5490	1.4955
1993-08-01	1.3080	5.7906	7.7515	103.7650	811.9409		7.3579	8.0466	1.6100	1.4966	0.6774		0.5526	1.4914
1993-09-01	1.3215	5.8015	7.7384	105.5748	811.8429		7.0829	8.0170	1.5972	1.4182	0.6517		0.5516	1.5248
1993-10-01	1.3263	5.8013	7.7307	107.0200	813.4500		7.1755	8.0195	1.5735	1.4432	0.6610		0.5526	1.5023
1993-11-01	1.3174	5.8086	7.7272	107.8765	809.7900	3.1498	7.3882	8.2661	1.5950	1.4969	0.6647		0.5479	1.4808
1993-12-01	1.3308	5.8210	7.7245	109.9130	812.5696	3.1083	7.4211	8.3501	1.5975	1.4634	0.6736		0.5563	1.4913
1994-01-01	1.3173	8.7219	7.7251	111.4415	813.5450	3.1078	7.5064	8.1185	1.6037	1.4716	0.6961		0.5626	1.4923
1994-02-01	1.3424	8.7249	7.7353	106.3011	812.2421	3.1218	7.4885	7.9869	1.5873	1.4565	0.7161		0.5744	1.4792
1994-03-01	1.3644	8.7241	7.7268	105.0974	810.6870	3.3026	7.3419	7.9156	1.5819	1.4292	0.7109		0.5709	1.4919
1994-04-01	1.3830	8.7251	7.7269	103.4843	811.7095	3.3495	7.3680	7.8850	1.5628	1.4383	0.7156		0.5691	1.4823
1994-05-01	1.3808	8.6859	7.7262	103.7533	809.7905	3.3167	7.1789	7.7181	1.5464	1.4125	0.7243		0.5835	1.5042
1994-06-01	1.3836	8.6836	7.7309	102.5264	809.8636	3.3671	7.0686	7.7968	1.5310	1.3727	0.7329		0.5912	1.5262
1994-07-01	1.3826	8.6605	7.7265	98.4450	808.3900	3.4031	6.8560	7.7471	1.5137	1.3239	0.7341		0.6006	1.5467
1994-08-01	1.3783	8.6072	7.7272	99.9404	806.8304	3.3814	6.8644	7.7420	1.5045	1.3184	0.7401		0.6012	1.5422
1994-09-01	1.3540	8.5581	7.7275	98.7743	803.6905	3.4022	6.7961	7.5227	1.4885	1.2892	0.7420		0.6030	1.5661
1994-10-01	1.3503	8.5492	7.7276	98.3530	801.9750	3.4212	6.6166	7.2631	1.4761	1.2648	0.7379		0.6090	1.6064
1994-11-01	1.3647	8.5370	7.7306	98.0440	799.4550	3.4425	6.7297	7.3637	1.4682	1.2956	0.7549		0.6209	1.5892
1994-12-01	1.3893	8.5033	7.7379	100.1824	794.8143	3.9748	6.8561	7.5161	1.4657	1.3289	0.7739		0.6373	1.5587
1995-01-01	1.4132	8.4608	7.7439	99.7660	793.0750	5.6405	6.6968	7.4775	1.4532	1.2863	0.7647		0.6402	1.5746
1995-02-01	1.4005	8.4553	7.7314	98.2368	793.1947	5.6779	6.5974	7.3914	1.4541	1.2715	0.7447		0.6345	1.5720
1995-03-01	1.4077	8.4483	7.7318	90.5196	781.8130	6.7770	6.2730	7.2787	1.4216	1.1709	0.7345		0.6460	1.6002
